Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
0.0149, 976, 
0.0151, 976, 
0.0147, 976, 
0.0149, 976, 
0.0148, 976, 
0.015, 976, 
0.0149, 976, 
0.0148, 976, 
0.0148, 976, 
0.0148, 976, 
0.0147, 976, 
0.0148, 976, 
0.0148, 976, 
0.0148, 976, 
0.0149, 976, 
0.0148, 976, 
0.0148, 976, 


Size: a2000.txt, 
Tempo(ms), Swaps, 
0.2634, 14121, 
0.2621, 14121, 
0.2641, 14121, 
0.2616, 14121, 
0.2859, 14121, 
0.2693, 14121, 
0.2631, 14121, 
0.2651, 14121, 
0.2612, 14121, 
0.2682, 14121, 
0.2607, 14121, 
0.2616, 14121, 
0.2621, 14121, 
0.2595, 14121, 
0.2632, 14121, 
0.2565, 14121, 
0.2631, 14121, 
0.2627, 14121, 
0.2627, 14121, 
0.2821, 14121, 
0.2736, 14121, 
0.2739, 14121, 
0.2674, 14121, 
0.2617, 14121, 
0.2695, 14121, 
0.2669, 14121, 
0.2707, 14121, 
0.2677, 14121, 
0.276, 14121, 
0.2721, 14121, 
0.2685, 14121, 
0.2726, 14121, 


Size: a200000.txt, 
Tempo(ms), Swaps, 
49.2417, 2472897, 
49.8513, 2472897, 
49.4223, 2472897, 
49.4694, 2472897, 
48.028, 2472897, 
46.6435, 2472897, 
46.6283, 2472897, 
46.6155, 2472897, 
46.6688, 2472897, 
46.6527, 2472897, 
46.6558, 2472897, 
47.0184, 2472897, 
46.8305, 2472897, 
46.6915, 2472897, 
46.6687, 2472897, 
46.6751, 2472897, 
48.1811, 2472897, 
46.5736, 2472897, 
46.6717, 2472897, 
46.5777, 2472897, 
46.5771, 2472897, 
46.5983, 2472897, 
46.8694, 2472897, 
46.5722, 2472897, 
46.7765, 2472897, 
46.8894, 2472897, 
48.3993, 2472897, 
47.7904, 2472897, 
49.3011, 2472897, 
49.3897, 2472897, 
49.4305, 2472897, 
49.406, 2472897, 


Size: a2000000.txt, 
Tempo(ms), Swaps, 
1252.6, 19681153, 
1221.18, 19681153, 
1234.05, 19681153, 
1205.09, 19681153, 
1268.54, 19681153, 
1206.85, 19681153, 
1233.71, 19681153, 
1203.18, 19681153, 
1241, 19681153, 
1225.3, 19681153, 
1264.83, 19681153, 
1203.18, 19681153, 
1201.32, 19681153, 
1201.03, 19681153, 
1272.16, 19681153, 
1200.89, 19681153, 
1201.38, 19681153, 
1253.66, 19681153, 
1207.31, 19681153, 
1231.53, 19681153, 
1201.77, 19681153, 
1201.21, 19681153, 
1200.49, 19681153, 
1242.03, 19681153, 
1201.59, 19681153, 
1213.6, 19681153, 
1246.04, 19681153, 
1231.14, 19681153, 
1210.08, 19681153, 
1203.45, 19681153, 
1438.43, 19681153, 
1273.25, 19681153, 


Size: a30000.txt, 
Tempo(ms), Swaps, 
5.2484, 296488, 
5.1899, 296488, 
5.2102, 296488, 
5.3045, 296488, 
5.1456, 296488, 
5.3036, 296488, 
5.2226, 296488, 
5.2368, 296488, 
5.2773, 296488, 
5.2112, 296488, 
5.3336, 296488, 
5.1583, 296488, 
5.1782, 296488, 
5.2781, 296488, 
5.2635, 296488, 
5.2829, 296488, 
5.2, 296488, 
5.1838, 296488, 
5.2649, 296488, 
5.3056, 296488, 
5.2636, 296488, 
5.492, 296488, 
5.5122, 296488, 
5.5055, 296488, 
5.6094, 296488, 
5.5419, 296488, 
5.5401, 296488, 
5.4761, 296488, 
5.5996, 296488, 
5.4372, 296488, 
5.6474, 296488, 
5.4159, 296488, 


Size: a500.txt, 
Tempo(ms), Swaps, 
0.0582, 3155, 
0.0572, 3155, 
0.0566, 3155, 
0.0564, 3155, 
0.0639, 3155, 
0.056, 3155, 
0.0631, 3155, 
0.069, 3155, 
0.073, 3155, 
0.0548, 3155, 
0.0548, 3155, 
0.0612, 3155, 
0.0542, 3155, 
0.0558, 3155, 
0.0559, 3155, 
0.0559, 3155, 
0.0558, 3155, 
0.0556, 3155, 
0.0622, 3155, 
0.0558, 3155, 
0.0558, 3155, 
0.0557, 3155, 
0.056, 3155, 
0.0558, 3155, 
0.0561, 3155, 
0.0609, 3155, 
0.0546, 3155, 
0.0626, 3155, 
0.0549, 3155, 
0.0546, 3155, 
0.0545, 3155, 
0.0547, 3155, 


Size: a5000.txt, 
Tempo(ms), Swaps, 
0.7861, 42065, 
0.8018, 42065, 
0.776, 42065, 
0.7883, 42065, 
0.7865, 42065, 
0.7882, 42065, 
0.9401, 42065, 
0.7677, 42065, 
0.7506, 42065, 
0.7395, 42065, 
0.7512, 42065, 
0.744, 42065, 
0.7643, 42065, 
0.7469, 42065, 
0.7417, 42065, 
0.742, 42065, 
